day,side,entry_et,exit_et,held_s,reason,points,pnl
2026-06-23,long,09:30:00,09:30:00,0.3,target,10.0,195.0
2026-06-23,short,09:30:15,09:30:15,0.0,stop,-5.25,-110.0
2026-06-23,short,09:30:30,09:30:31,0.9,stop,-5.0,-105.0
2026-06-23,short,09:30:45,09:30:46,1.4,stop,-5.0,-105.0
2026-06-23,short,09:31:00,09:31:00,0.2,target,10.0,195.0
2026-06-23,short,09:31:15,09:31:24,9.2,stop,-5.25,-110.0
2026-06-23,long,09:31:30,09:31:30,0.2,stop,-5.0,-105.0
2026-06-23,long,09:31:45,09:31:46,1.2,target,10.0,195.0
2026-06-23,long,09:32:00,09:32:00,0.1,stop,-5.0,-105.0
2026-06-23,long,09:32:15,09:32:15,0.4,stop,-5.0,-105.0
2026-06-23,short,09:32:30,09:32:31,1.3,stop,-5.0,-105.0
2026-06-23,short,09:32:45,09:32:46,1.5,target,10.0,195.0
2026-06-23,long,09:33:00,09:33:00,0.5,stop,-5.0,-105.0
2026-06-23,short,09:33:15,09:33:17,2.7,stop,-5.0,-105.0
2026-06-23,long,09:33:30,09:33:31,0.8,stop,-5.0,-105.0
2026-06-23,short,09:33:45,09:33:46,1.7,target,10.0,195.0
2026-06-23,short,09:34:00,09:34:01,0.9,target,10.0,195.0
2026-06-23,long,09:34:15,09:34:18,3.6,stop,-5.0,-105.0
2026-06-23,long,09:34:30,09:34:36,6.5,target,10.0,195.0
2026-06-23,long,09:34:45,09:34:47,2.1,stop,-5.25,-110.0
2026-06-23,long,09:35:00,09:35:00,0.2,stop,-5.0,-105.0
2026-06-23,short,09:35:15,09:35:19,4.2,stop,-5.0,-105.0
2026-06-23,long,09:35:30,09:35:30,0.1,stop,-5.0,-105.0
2026-06-23,short,09:35:45,09:35:45,0.3,stop,-5.25,-110.0
2026-06-23,short,09:36:00,09:36:00,0.1,stop,-7.25,-150.0
2026-06-23,short,09:36:15,09:36:15,0.3,stop,-5.0,-105.0
2026-06-23,short,09:36:45,09:36:46,1.0,stop,-5.0,-105.0
2026-06-23,short,09:37:00,09:37:02,2.6,stop,-5.25,-110.0
2026-06-23,long,09:37:15,09:37:17,2.2,target,10.0,195.0
2026-06-23,long,09:37:30,09:37:30,0.2,stop,-5.0,-105.0
2026-06-23,long,09:37:45,09:37:45,0.3,stop,-5.0,-105.0
2026-06-23,short,09:38:00,09:38:02,2.1,stop,-5.0,-105.0
2026-06-23,short,09:38:15,09:38:15,0.1,stop,-5.0,-105.0
2026-06-23,long,09:38:30,09:38:32,2.4,target,10.0,195.0
2026-06-23,long,09:38:45,09:38:49,4.2,target,10.0,195.0
2026-06-23,short,09:39:00,09:39:00,0.7,stop,-5.75,-120.0
2026-06-23,long,09:39:15,09:39:17,2.1,target,10.0,195.0
2026-06-23,long,09:39:30,09:39:30,0.4,stop,-5.0,-105.0
2026-06-23,long,09:39:45,09:39:45,0.3,stop,-5.25,-110.0
2026-06-23,long,09:40:00,09:40:01,1.0,stop,-5.0,-105.0
2026-06-23,short,09:40:15,09:40:15,0.3,stop,-5.0,-105.0
2026-06-23,short,09:40:30,09:40:30,0.5,stop,-5.0,-105.0
2026-06-23,long,09:40:45,09:40:47,2.4,stop,-5.0,-105.0
2026-06-23,long,09:41:00,09:41:00,0.4,stop,-5.0,-105.0
2026-06-23,short,09:41:15,09:41:17,2.2,stop,-5.0,-105.0
2026-06-23,short,09:41:30,09:41:32,2.1,target,10.0,195.0
2026-06-23,short,09:41:45,09:41:46,1.4,stop,-5.25,-110.0
2026-06-23,short,09:42:00,09:42:04,3.8,target,10.0,195.0
2026-06-23,short,09:42:15,09:42:15,0.6,stop,-5.5,-115.0
2026-06-23,short,09:42:30,09:42:43,12.9,stop,-5.0,-105.0
2026-06-23,short,09:42:45,09:42:50,5.5,stop,-5.0,-105.0
2026-06-23,long,09:43:00,09:43:00,0.2,stop,-5.0,-105.0
2026-06-23,long,09:43:15,09:43:19,3.9,stop,-5.0,-105.0
2026-06-23,short,09:43:30,09:43:31,0.9,stop,-5.0,-105.0
2026-06-23,short,09:43:45,09:43:45,0.1,stop,-5.25,-110.0
2026-06-23,short,09:44:00,09:44:00,0.6,stop,-5.0,-105.0
2026-06-23,long,09:44:15,09:44:20,5.6,stop,-5.0,-105.0
2026-06-23,short,09:44:30,09:44:34,4.7,stop,-5.0,-105.0
2026-06-23,short,09:44:45,09:44:46,1.4,stop,-5.25,-110.0
2026-06-23,short,09:45:00,09:45:00,0.0,stop,-9.0,-185.0
2026-06-23,short,09:45:15,09:45:15,0.2,stop,-5.0,-105.0
2026-06-23,long,09:45:30,09:45:31,0.8,stop,-5.25,-110.0
2026-06-23,short,09:45:45,09:45:46,1.3,stop,-5.0,-105.0
2026-06-23,short,09:46:00,09:46:00,0.7,stop,-5.0,-105.0
2026-06-23,short,09:46:15,09:46:18,3.5,target,10.0,195.0
2026-06-23,short,09:46:30,09:46:31,0.8,stop,-5.0,-105.0
2026-06-23,short,09:46:45,09:46:45,0.6,stop,-5.0,-105.0
2026-06-23,short,09:47:00,09:47:05,5.6,target,10.0,195.0
2026-06-23,long,09:47:15,09:47:17,1.8,stop,-5.5,-115.0
2026-06-23,long,09:47:30,09:47:32,2.2,stop,-5.0,-105.0
2026-06-23,long,09:47:45,09:47:46,1.3,target,10.0,195.0
2026-06-23,long,09:48:00,09:48:00,0.4,stop,-5.0,-105.0
2026-06-23,long,09:48:15,09:48:15,0.1,stop,-5.0,-105.0
2026-06-23,short,09:48:30,09:48:41,11.1,stop,-5.0,-105.0
2026-06-23,long,09:48:45,09:48:45,0.2,stop,-5.25,-110.0
2026-06-23,long,09:49:00,09:49:01,0.8,stop,-5.25,-110.0
2026-06-23,long,09:49:15,09:49:21,6.6,stop,-5.25,-110.0
2026-06-23,short,09:49:30,09:49:32,1.8,stop,-5.0,-105.0
2026-06-23,short,09:49:45,09:49:49,3.8,target,10.0,195.0
2026-06-23,short,09:50:00,09:50:00,0.4,stop,-5.0,-105.0
2026-06-23,long,09:50:15,09:50:25,9.9,stop,-5.0,-105.0
